Method,Noise Level,PSNR (dB),SSIM,Edge Score
Dncnn,high,34.1563178507487,0.9085345244256754,0.9638241024812063
Gaussian,high,28.640852839152018,0.89062538481732,0.9177528794606526
NLM,high,32.259263585408526,0.855646280048624,0.9476548091570536
Noisy input,high,28.03636817932129,0.6537276509181079,0.8926838912566503
Unet,high,36.19435241699219,0.9634178565058664,0.9781821103890737
Dncnn,low,40.64297337849935,0.9698043028618719,0.9924616201718648
Gaussian,low,29.538741416931153,0.9460483458033959,0.9357409024238587
NLM,low,42.3815611521403,0.9751871506284495,0.9949519475301106
Noisy input,low,38.04350082397461,0.909807283394083,0.9874014921983083
Unet,low,37.05092622121175,0.9039269680091229,0.9853306504090628
Dncnn,med,38.37500467936198,0.9534790485271067,0.9870661207040151
Gaussian,med,29.412245966593424,0.9389522070993337,0.9342994618415833
NLM,med,39.30335698445638,0.9537485799571965,0.9894294774532318
Noisy input,med,35.00618732452393,0.8472898669401203,0.9745722790559133
Unet,med,39.54753423055013,0.9608092720827862,0.9910868970553081
